sequence,next
"[117, 4, 361, 235, 19]",109
"[4, 361, 235, 19, 109]",381
"[361, 235, 19, 109, 381]",247
"[235, 19, 109, 381, 247]",21
"[19, 109, 381, 247, 21]",45
"[30, 30, 118, 49, 21]",21
"[146, 493, 237, 74, 55]",278
"[493, 237, 74, 55, 278]",21
"[91, 36, 4, 93, 235]",17
"[36, 4, 93, 235, 17]",185
"[500, 47, 30, 21, 501]",187
"[244, 82, 504, 505, 66]",66
"[217, 82, 10, 240, 513]",218
"[315, 236, 418, 67, 22]",45
"[25, 25, 79, 405, 55]",395
"[71, 460, 226, 301, 218]",64
"[460, 226, 301, 218, 64]",138
"[226, 301, 218, 64, 138]",13
"[301, 218, 64, 138, 13]",519
"[218, 64, 138, 13, 519]",21
"[64, 138, 13, 519, 21]",21
"[138, 13, 519, 21, 21]",284
"[13, 519, 21, 21, 284]",284
"[70, 229, 439, 104, 73]",335
"[229, 439, 104, 73, 335]",520
"[439, 104, 73, 335, 520]",149
"[104, 73, 335, 520, 149]",294
"[73, 335, 520, 149, 294]",40
"[335, 520, 149, 294, 40]",180
"[520, 149, 294, 40, 180]",25
"[149, 294, 40, 180, 25]",263
"[294, 40, 180, 25, 263]",121
"[40, 180, 25, 263, 121]",12
"[180, 25, 263, 121, 12]",332
"[25, 263, 121, 12, 332]",194
"[263, 121, 12, 332, 194]",416
"[121, 12, 332, 194, 416]",44
"[12, 332, 194, 416, 44]",195
"[332, 194, 416, 44, 195]",19
"[194, 416, 44, 195, 19]",26
"[416, 44, 195, 19, 26]",15
"[44, 195, 19, 26, 15]",521
"[195, 19, 26, 15, 521]",167
"[19, 26, 15, 521, 167]",196
"[26, 15, 521, 167, 196]",327
"[522, 134, 3, 1, 523]",258
"[134, 3, 1, 523, 258]",380
"[3, 1, 523, 258, 380]",314
"[1, 523, 258, 380, 314]",22
"[523, 258, 380, 314, 22]",45
"[525, 526, 527, 528, 357]",386
"[292, 65, 393, 529, 84]",42
"[65, 393, 529, 84, 42]",21
"[393, 529, 84, 42, 21]",21
"[122, 494, 173, 137, 14]",15
"[494, 173, 137, 14, 15]",15
"[224, 39, 73, 161, 473]",3
"[39, 73, 161, 473, 3]",65
"[73, 161, 473, 3, 65]",29
"[161, 473, 3, 65, 29]",7
"[230, 47, 30, 30, 117]",25
"[47, 30, 30, 117, 25]",118
"[30, 30, 117, 25, 118]",48
"[30, 117, 25, 118, 48]",49
"[117, 25, 118, 48, 49]",22
"[60, 28, 105, 512, 509]",54
"[28, 105, 512, 509, 54]",324
"[105, 512, 509, 54, 324]",7
"[134, 25, 25, 130, 35]",110
"[25, 25, 130, 35, 110]",48
"[25, 130, 35, 110, 48]",278
"[287, 9, 493, 462, 30]",326
"[9, 493, 462, 30, 326]",74
"[493, 462, 30, 326, 74]",537
"[462, 30, 326, 74, 537]",119
"[30, 326, 74, 537, 119]",142
"[326, 74, 537, 119, 142]",113
"[74, 537, 119, 142, 113]",22
"[537, 119, 142, 113, 22]",114
"[46, 119, 25, 13, 126]",66
"[46, 226, 12, 235, 55]",55
"[507, 72, 172, 508, 3]",389
"[72, 172, 508, 3, 389]",87
"[172, 508, 3, 389, 87]",129
"[508, 3, 389, 87, 129]",547
"[3, 389, 87, 129, 547]",27
"[389, 87, 129, 547, 27]",66
"[239, 161, 74, 119, 277]",142
"[161, 74, 119, 277, 142]",319
"[74, 119, 277, 142, 319]",369
"[119, 277, 142, 319, 369]",344
"[277, 142, 319, 369, 344]",182
"[142, 319, 369, 344, 182]",519
"[319, 369, 344, 182, 519]",33
"[39, 10, 57, 289, 263]",29
"[10, 57, 289, 263, 29]",44
